MAKE
"Lambert Aircraft"
"Lawrence Brown Aircraft"
"BRM Aero"
"BRM Construções"
Brügger
"Brumby Aircraft"
Brunner-Winkle
Buckeye
Bucker
"Buraq Aviation"
"Burgess Company"
Bushby
"Bushmaster Aircraft Corp"
"Commonwealth Aircraft Corp."
"Chengdu Aircraft Corp."
CAG
"Call Aircraft Co."
Camair
"Cameron Balloons"
Campbell
"Canada Air R.V. Inc."
Canadair
"Canadian Home Rotors"
"Canadian Light Aircraft"
"Canadian Ultralights"
"Capella Aircraft"
Caproni
"Carlson Aircraft"
"Carpenter Pagotto"
Casa
"Cascade Ultralights"
Cassutt
Castel
C.A.T.A.
Caudron
Célier
Centrair
"Centre de Pilotage H.G."
Cessna
"CFM Aircraft"
"CGS Aviation"
"Champion Aircraft Corp."
Chapelet
Chernov
Chilton
Chrislea
Christavia
"Christen Industries"
"Cicare Helicopteros"
"Circa Aviation"
Cirrus
"Clark Aircraft Inc."
"Classic Aero Enterprises"
Clutton-Tabenor
"Cobra Aviation"
Colomban
Columbia
Colyaer
Comac
"Comco Ikarus"
Command-Aire
Commander
"Commonwealth Aircraft Inc."
"Compact Compositi"
Compcop
Comp-let
"Concept Air"
"Concorde International"
Consolidated
Convair
Corbeau
Corben
Corby
"Corivi Aviation"
"Corvus Aircraft"
Cosmos
CO-Z
Croses
"Cub Crafters Inc."
"Culp's Specialties"
Culver
Currie
Curtiss-Wright
Cvjetkovic
CZAW
DAC
Daewoo
"Daiichi Kosho Co."
Dassault
"Davis Aircraft Corp."
Deborde-Rolland
"de Havilland"
"Delta Wing Kites"
Dewald
Dewoitine
DFS
"Diamond Aircraft"
Didier
"Diehl AeroNautical"
"Direct Fly"
Dornier
"Dragon Aircraft Company"
"Dragoneers Foundation"
"Dova Aircraft"
Druine
"DSK Airmotive"
DTA
Duster
Dyke
Dynali
"Dyn Aero"
EAA
"Eagle Balloons"
"Eagle Aviation"
"Eagle Wings"
"Eagle Aircraft Pty."
"Eagle Aircraft Company"
"Eagle R&D"
"Early Bird Aircraft Co."
Easy-Up
"Earthstar Aircraft"
"Eclipse Aviation"
Edelweiss
"EDEL Tech Ltd"
EDRA
EGVoyager
EHI
Eiri-Avion
Ekolot
"El Camino"
"ELA Aviation"
Embraer
"Emerald Coast Aviation"
"Emigh Aircraft Co."
"Emivest Aerospace Corp."
Enaer
"Engineering & Research Corp."
"English Electric"
Enstrom
EoN
"Epic Air"
"Euro Ala"
Euro-Fly
"Europa Aircraft"
Eurus
Evans
Evektor
"Excalibur Aircraft"
"Excel-Jet Ltd"
"Express Aircraft"
"Extra Flugzeugbau"
"Fairchild Aircraft"
"Fairchild Swearingen"
Fairey
Falconar
"Falcon Industries"
"Fantasy Air"
"Fantasy Balloons"
Farner-Werke
Ferguson
Ferrari
"Fighter Escort Wings"
FFA
FFT
Fiat
Fieseler
"First Strike"
"Firebird Sky Sports "
"Fisher Aero Corp."
"Fisher Flying Products"
FK-Lightplanes
"Flaeming Air"
Flaglor
Fletcher
Fleetwings
Fleet
"Flexiform Sky Sails"
"Flight Designs"
"Flight Design"
"Flightstar Sportplanes"
Flitzer
FLSZ
FLS
"Fly Castelluccio"
"Flying K Enterprises"
"Flying Machines"
Flyitalia
Flylab
Flylight
"Fly Line"
"Fly Products"
"Fly Synthesis"
FlyWeeds
FMA
FMP
Focke-Wulf
Fokker
Folland
Stokes
Stout/Ford
Ford
Formula
"Forney Manufacturing Co."
Fouga
"Found Aircraft"
Fournier
"Foxcon Aviation"
"Murray Frank"
Franklin
"Free Bird Innovations"
Freedom
"FreeX Air Sports "
"Fresh Breeze"
Fuji
"Funk Aircraft"
Furia
"El Gavilan"
Gabardini
GAF
GAIC
"Galaxy Balloons"
Gardan
Garner
Gemini
"General Aircraft Corp."
"General Avia"
"General Dynamics"
Gere
"Gilbert Custom Aircraft"
GibboGear
"Gin Gliders "
"Gippsland Aeronautics"
Glaser-Dirks
Glasflugel
Gloster
Globe
"Golden Car"
"Golden Circle Air"
Goldwing
Goodyear
Goppingen
"Gradient s.r.o."
"Great Lakes"
"Great Plains"
"Green Sky Adventures"
"Griffon Aerospace"
Grinvalds
Grob
"Groen Brothers Aviation"
"Nando Groppo"
"G1 Aviation"
Gulfstream
"Tiger Aircraft"
Grumman
Guimbal
Gyro-Kopp-Ters
Gyrodyne
"Gyrotech Inc."
Haig
Halberstadt
Hall
HAL
Halley
HAMC
"Hang Gliders"
Harmon
"Harmening's High Flyers"
"Harper Aircraft"
"Hart Aero"
Hatz
"Hawker Siddeley"
"Hawk Aeroplane Mfg."
HB-Flugtechnik
"Heath Aircraft"
"Head Balloons"
Heinkel
"Heldeberg Designs"
Helff
Helicom
Helio
"Heli Sport"
Helton
"HE Paramotores"
"HFL Flugzeugbau"
Hiller
"Hipp's Superbird"
"Hispano Aviación"
Hispano-Suiza
Hiway
Hocker-Denien
"Honda Aircraft"
"Hornet Microlights"
"Hoverhawk Corp."
Hovey
"Howard Aero"
Howard
Huckleberry
"Hughes Aero"
Hughes
"Humbert Aviation"
Hummel
Hummer
"Hungarian Microlight"
Huntair
Huntwing
HY-TEK
3I
IAR
IaI
"IBIS Aircraft"
"Ibis Aerospace"
"Icarus Foundation"
"Icon Aircraft"
Ilyushin
"Impulse Aircraft"
"Independent Aircraft"
"IndUS Aviation"
Interavia
"Infinity Power Parachutes"
"Inland Aviation"
Intracom
"Interplane USA"
Interstate
I.C.P.
"Ipe Aeronaves"
Isaacs
"Issoire Aviation"
"ITV Parapentes"
"Ivanov Aircraft"
"J&J Ultralights"
Jabiru
Janowski
Jastreb
"Javelin Aircraft Co."
Jeffair
Jetlev
Jodel
Johnson
"Joplin Light Aircraft"
JORA
Junkers
"Junqua Aircraft"
Jurca
"Just AirCraft"
"Juvenelle Aircraft"
Kalinauakas
Kaman
Kaminskas
Kamov
Jihlavan
"Kavanagh Balloons"
Kawasaki
"Kazan Helicopters"
Keleher
Kemmeries
"Ken Brock"
"Kestrel Aircraft Company"
"Kestrel Paramotor"
"Keuthan Aircraft"
Kimbrel
Kinney
Kinner
Klemm
KlingAir
Klipo
"KLS Composites"
Kolb
Kolibri
"Kramme & Zeuthen"
"Krasnye Krylia"
"Krucker Manufacturing Ltd"
"Kubicek Balloons"
Laco
Laister-Kauffman
Lake
MDPC
"La Mouette"
Lancair
Langhurst
Lasher
Lastovka
Laverda
Lavochkin
Lazair
"Leach Aircraft"
Learjet
"Legend Aircraft Inc."
Lemonnier
"Letov Air sro."
Myasishchev
"MySky Aircraft"
Sokol
Let-Mont
Let
Leza-Lockwood
"Liberty Aerospace"
"Light Miniature Aircraft"
Lincoln-Page
"Lindstrand Balloons"
"Lite Wing Trike"
"Little Wing Autogyros"
Lockheed
Loehle
Loving's
Lucas
Lunak
Luscombe
"Luton Aircraft"
"MacAir Industries"
MacFam
Maefin
"Magni Gyro"
"Mainair Sports"
Malmo
Manta
Mara
"Mariner Aircraft"
Marbella-Parapente
Marchetti
Marquart
"Marske Flying Wings"
Martin
Maule
Maupin
"Maverick Jets"
"Max Holste"
Maxair
Mayocraft
MBII
MBB
McCormick
McCulloch
"McDonnell Douglas"
MDM
"Meadowlark Ultralight Corp."
"Medway Microlights"
Messerschmitt
"Meyer K."
Meyers
Micco
MBA
"Micro Aviation"
Microleve
"Midwest Aerosport"
"Midwest Engineering"
MiG
"Mignet Aviation"
Mil
Miles
Milholland
Miller
"Miniplane Paramotors"
Mitsubishi
Moller
Mong
Montgomerie
Monnett
"MONO Aircraft Corp."
"Montana Coyote Inc."
Mooney
Morane-Saulnier
Moravan-Zlin
Morelli
Morrisey
Mosler
"Mosquito Aviation"
"Mountain Trikes"
Moyes
M-Squared
MSL-Aéro
"MSW Aviation"
Mudry
"Murphy Aircraft"
Mylius
Nakajima
Nanchang
NAMC
"National Ballooning Ltd."
"Naval Aircraft Factory"
Neiva
Nesmith
"New Century Aerosport"
Nicholas-Beazley
Nicollier
Nieuport
Nippi
"New Standard"
"Noorduyn Aviation"
"Noble Hardman"
Nord
"North American"
"Northern Lite Air"
Northrop
Northwing
"Nova Era Infláveis"
"NOVA International"
NuWaco
Oberlerchner
"OMF Aircraft"
Oskbes
"Osprey Aircraft"
"Orlican Chocen"
Ozone
"PAC NZ"
"PAC Pak."
Pacific
Padelt
Pago
"Pakistan Aeronautics"
"Paladin Industries"
Panavia
"PAPA 51 Ltd."
"Paradise Aircraft"
"Paralight Aviation"
Paralite
"Paramotor Inc."
Paraplane
Parascender
"Para-Ski International"
Paratour
"Para Toys"
Parker
Parsons
Partenavia
Vulcanair
Payne
Pazmany
"Soaring Concepts"
"Società Aeronautica Italiana"
"Solar Wings"
"Pegasus Aviation"
Peña
Percival
Peris
"Personal Flight Inc."
"Performance Design"
Pfalz
"Phantom Aeronautics"
Pheasant
"Phoenix Air s.r.o."
"Phoenix Powered Parachutes Inc."
Piaggio
"Pi Air"
Piasecki
Piccard
Pietenpol
Pilatus
Pilgrim
Piper
Pipistrel
Pitts
Piuma
Platzer
Polaris
"Pola Aircraft"
Polikarpov
Polliwagen
Polson
Practavia
"Private Aircraft Works"
"Point Aviation"
Porterfield
"Potez Aircraft"
Pottier
Powell
Powerchute
"Powered Parachute Plans"
"Power Trike"
"Powrachute Corp."
Preceptor
Prescott
Procaer
"Pro Design"
ProFe
Pro.Mecc
"Pro Sport Aviation"
Protech
Pterodactyl
Pützer
PZL/Bielsko
"WSK PZL-Krosno"
"PZL/WSK Mielec"
PZL/Warszawa-Okecie
"Quad City"
"Quasar Aircraft Company"
Questair
"Quest Aircraft"
Quickie
QuikKit
Quicksilver
Raceair
"Rad Aviation"
"Ragwing Aviation"
"Rainbow Aircraft"
Ramphos
"Rand Robinson"
Rans
"Rapid Launch"
"Ravin Aircraft"
"Rawdon Brothers Aircraft"
Raytheon
"Reality Aircraft"
Rearwin
R.E.A.R.
"Redback Aviation"
"Reflex Fiberglass Works"
"Reflex Paramotors"
"Refly Inc."
Remos
Reno
"Replica Plans"
Republic
"Revolution Paramotors"
Revolution
RFB
"Rihn Aircraft Corp."
Ritz
"Nelson Robert"
Robertson
"Robinson Trikes"
Robinson
Robin
Rockwell
"Rocky Mountain Wings"
"Roko Aero"
Rolladen-Schneider
"Roly Beamont"
Rosebrugh
Rossi
"Rotary Air Force"
"Rotec Engineering"
"Rotor Flight Dynamics"
"Rotor Hawk"
RotorWay
Ruschmeyer
RSAA
Rutan
"RVB Balloons"
Ryan
Saab
"Sabre Aircraft"
SAC
Sadler
Safire
"Sao Paulo"
Sauper-Aviation
Scheibe
Schempp-Hirth
Schleicher
"Schroeder Fire Balloons"
Schweizer
"Scottish Aviation"
"Seabird Aviation"
"Seahawk Industries"
Seastar
"Seawind/SNA Inc."
"Seedwing Flugsport"
"Semco Balloon"
Sepecat
Sequoia
"SG Aviation"
"Shadow Aircraft"
"Shark Aircraft"
"Sherpa Aircraft"
Shield
ShinMaywa
Shinn
"Shirl Dickey"
"Short Brothers"
"Siai Marchetti"
Siat
Siebel
Siemens-Schuckert
Sikorsky
"Simmonds/Spartan Aircraft"
SIPA
Sitabria
"Six Chuter Inc."
Skilar
"Skye Trek"
Slingsby
Skylark
"Skyleader Aircraft"
"Skycraft Pty Ltd"
"Skycraft International"
"Skyhook Sailwings"
Sky-MAXX
"Skyote Aeromarine"
Skypaths
"Skystar Aircraft"
Skytech
Slepcev
"Slick Aircraft"
"Slipstream Industries"
"SLO Air"
S.M.A.N.
Smith
Smyth
Snowbird
Snow
Soko
"Solo Wings"
"Soma Aviation Inc."
Sonex
"Sopwith Aviation Co."
"Sorrell Aircraft"
"Southdown Aerostructure"
"Souza Gyroplane"
"SPACEK s.r.o."
"Spartan Microlights"
Spartan
"Spencer, Bill"
Spectrum
"Spencer Aircraft Inc."
Spezio
Sportavia
"Sport Air"
"Sport Copter"
"Sport Flight"
"Sportine Aviacija"
"Spratt & Co. Inc."
"Av Springbok"
"Spy Motors"
"Jean St-Germain"
Stampe
"Starfire Systems"
"Starflight Mfg."
Star-Lite
"Start + Flug"
"Staudacher Aircraft"
Stearman
Steen
"Stellar Aircraft"
Stemme
Stephens
Stern
Stevens
Stewart
Stinson
Stits
Stoddard-Hamilton
Stolp
Storey
"Storm Aircraft"
Story
Strahan
Straton
"Stratos Aircraft"
"Striplin Aircraft"
Strojnik
Sukhoi
"Summit Powered Parachutes"
"Sunrise Ultralights"
"Sunrise Aircraft"
"Supapup Light Aircraft"
"Super Fly"
Supermarine
"Swallow Aircraft"
Sino-Swearingen
"Swedish AeroSport"
Swing
"Take Off"
"Tapanee Aviation Inc."
"TASK Research Ltd."
Taylorcraft
"Taylor J.F."
"Team Rocket Inc."
"Team Tango"
T.E.A.M.
Technoavia
Technoflug
Tecnam
"Teman Aircraft"
Temco
Tena
TeST
Teratorn
"Termerair "
"Terrafugia "
"Thatcher Aircraft"
"The Balloon Works"
Thorp
"Thrush Aircraft/Ayres"
"Thruster Air Services"
"Thunder & Colt"
Thurston
"Tiger Cub Developments Ltd."
Tiger-Lite
Timm
Tipsy
Titan
TL-Ultralight
"Tomark Aero"
Transall
"Travel Air"
"Trek Aerospace"
"Tridair Helicopters"
TRI-R
Tupolev
"Turner Aircraft Inc."
TWI
"Uetz Flugzeugbau"
UFM
UFO
Ultimate
ULBI
Ultra-Leicht-Flugtechnik
"UL-Jih Sedlácek"
Ultramagic
Ultravia
"Universal Hovercraft"
"Urban Air"
"US Light Aircraft"
"U.S. Navy Fabric Shop"
"US Pacific"
"US Paragliding "
UTVA
Valentin
"Valley Engineering"
Valmet
Vans
Varga
"Aerodyne Systems"
"Velocity Aircraft"
"Vertical Aviation"
Vertical
Vickers
"Victoria Balloons"
Vidor
"Vintage Ultralight"
"Viper Aircraft Corp."
"Vision Aircraft"
"Vol Mediterrani"
Volaircraft
Voliamo
Volmer
Voshod
Vought
Vultee
VVV-Avia
W.A.R.
WAC
Waco
WalkerJet
"Warner Aerocraft"
"Monte Warne"
Waspair
"Wasp Flight Systems"
Wassmer
"Watson Aero Industries"
Watson
"W.D. Flugzeugleichtbau"
Weatherly
Weedhopper
"Westfall Aircrat Co."
Westinghouse
"Westland Ltd."
Wheeler
Whigham
"Whisper Aircraft"
WLAC
Whittaker
Williams
"Wills Wing"
"Wing Aircraft Co."
Wittman
Wizard
Woodwind
"Wörner Balloons"
"Wright Brothers"
XAC
X-Air
Xtremeair
"Yakima Aerosport"
Yakovlev
Yokosuka
Yo-Yo
"Zaklady Lotnicze 3Xtrim"
Zenair
ZIA
Zing
Zivko
"Zlin Aerospace"
"MD Helicopters"
"Sam Aircraft"
Breezer
"Precision Design"
Opus
"Custom Flight"
Nextant
"Artur Trendak"
Aviad
"Enjoy Team"
"UP International"
"Trixy Aviation"
"The Airplane Factory"
Scout
flyARGO
"Aeropup Aircraft"
