model
Titanium
Tornado
Transan
Trike
BiPlaza
SS-2
T-2
T-103
"Big Dawg"
"Out Law"
"Out Law 103"
"Powered Parachute"
"Spitfire II"
Spitfire
IIIM
TSR3
Cassutt
Sunburst
Seamax
18
18-A
Twinstar
Umbaugh
CN-235-100
CN-235-200
CN-235M
CN-235
CN-295
Persuader
"AT Sports"
"AT Sports Mirage"
AH-31
AH-56
AH-56C
AH-77
AH-77B
B-31
AT-300
AT-301
AT-301A
AT-301B
AT-301`tp
AT-400
AT-400`tp
AT-401
AT-401A
AT-401B
AT-401W
AT-402
AT-402A
AT-402B
AT-502
AT-502A
AT-502B-15
AT-502B
AT-502-34
AT-503
AT-503A
AT-504
AT-602
AT-602B
AT-802
AT-802AF
AT-802A
AT-802F
AT-802U
Comet
"Comet Sky-Trike"
Merlin
Nimrod
"Nimrod Chargus"
"Nimrod Chargus T250"
"Nimrod Hornet"
"Nimrod Hornet 250"
"Nimrod Hornet 330"
"Nimrod Patterson WW2"
"Nimrod Tri-Flyer"
"Nimrod Tri-Flyer 330"
"Nimrod Tri-Pacer"
"10 Metre"
"11 Metre"
EPIC
"Magic Kiss"
Pulse
"Pulse 2"
"Pulse 3"
Rave
"Rave Paraglider"
Speedster
Sportster
Paraglider
Fusion
Logic
Scenic
Sport
Mü-23
Saurier
G-200
G-202
G-300
G-750
Giles
"Apex Cross 5"
WT-7
Excel
Sportplane
G-222
G-222/C-27
G-222/C-27A
G-222/C-27J
G-222RM
G-222SAA
G-222T
G-222VS
Silent
"Silent 2"
"Silent 2 Electro"
"Silent 2 Targa"
"Silent Club"
Yuma
503
582
"APCO 500 Chute"
Fusion
ParaCraft
Sparrow
Destiny
"Destiny 2000"
"Destiny XLT"
D20
J-300
Calao
Jodel
Joker
Papango
Savage
A2
A2-A
A2-D
A4
415
415-C/D
415-C
415-D
415-E
415-F
415-G
Aircoupe
200
"200 VLA"
230
300
330
400
AH130
Pioneer
"Pioneer Acro"
"Pioneer Beluga"
"Pioneer Hawk"
"Pioneer Quattrocento"
"Pioneer Sauer"
"Pioneer Sparrow"
"Pioneer Turbo"
"Pioneer Standard"
Syton
160A
"AVo 68"
"AVo 68-R 115"
"AVo 68-R"
"AVo 68-S"
"AVo 68-V"
Samburo
J-6
"Eagle TT"
"Double Eagle TT"
Karatoo
"Sport 1700"
Vixen
"105,000 cu.ft."
CH-200
CH-640
CH-601
"CH-601 XL"
CH-650
"CH-650 LSi"
"CH-650 LS"
CH-750
"CH-750 STOL LS"
"CH-750 LS"
CH-2000
OMF-160
Alarus
Patriot
"Patriot 150"
Zodiac
LS4
LS6
Apis
Bee
"Carat A"
Magnus
Maxus
Mingus
10A
10D
Ensign
215
215-B
Eagle
"Double Eagle"
Eagle-XL
"Weightshift Eagle"
Falcon
"Falcon XP"
"Z-Jet Cyclone"
7EC
7ECA
7GCAA
7GCA
7GCBC
8GCBC
8KCAB
Champ
"Citabria Adventurer"
"Citabria Aurora"
"Citabria Explorer"
Scout
"Scout CS"
"Super Decathlon"
AL11C-100
AL3C-100
Cub
2-32
2-32C
Chevron
AMX-T
AMX
AG-14
EA-1
W-1
Kingfisher
"Super Kingfisher"
BA-11
BA-4
BA-4B
BA-6
BA-7
A2
A1
Angel
"Angel 44"
"Range Rider"
A-10
"A-10 R503"
MA-30
MA-32
"MA-32 R503"
MA-33
"MA-33M R582"
"MA-33M R912"
MA-34
"MA-34 R582XB"
"MA-34 R912S"
"MA-34 R912"
Beaver
"Crop Duster"
"Open Country"
Ranger
Solo
G-21
"Super Goose"
An-124
An-124-100
An-140
An-140-100
An-170
An-225
An-10
An-12
An-12BK
An-12BP
An-12B
An-12PS
An-14
An-22
An-24
An-24B
An-24RT
An-24RV
An-24T
An-24V
An-26
An-26B
An-26B-100
An-26RT
An-26SM
An-26-100
An-28
An-30
An-30A
An-30M
An-32
An-32B
An-32P
An-38
An-38-100
An-38-200
An-70
An-70T
An-71
An-72
An-72AT
An-72A
An-72P
An-72S
An-72T
An-74
An-74-100
An-74-200
An-74-300
An-77
An-2
An-2CX
An-2LV
An-2M
An-2P
An-2R
An-2S
An-2TD
An-2TP
An-2T
An-2VA
An-2V
An-2ZA
An-3
An-3T
An-8
Antheus
Antov
Clank
Cline
Clod
Coaler
Cock
Coke
Colt
Colt`tp
Condor
Cossack
Cub
Cub-B
Cub-D
Curl
Curl-B
Mriya
Ruslan
"Parachute 400"
"Parachute 450"
"Parachute 500"
"Parachute 550"
Paraglider
Allegra
Bagheera
Fiesta
Futura
Karma
"Karma SP"
Prima
"Prima 3"
Santana
Simba
Sierra
Supra
"Supra 25"
"Supra 28"
"Supra 30"
"Zen II"
Zia
Zuni
"Zuni II"
"Ar 65"
"Ar 66"
"Ar 68"
"Ar 95"
"Ar 96"
"Ar 196"
"Ar 197"
"Ar 232"
"Ar 234"
"Ar 240"
"Ar 396"
447
503
582
Trike
"Swing Trike"
"A 210"
Lightning
"Lightning EXP"
"Lightning LS-1"
HP
"HP 503"
"HP 582"
"HP 618"
"UL 447"
912
"ULS 912"
Aventura
"Aventura II"
"Aventura Sport"
Bucaneer
"Bucaneer II"
Toucan
A2
"Model F"
"Model G"
"Sport Pursuit"
Sport
Everest
RX-550
"RX-550 Plus"
RX-650
RX-28
1-S
2-XS
"Plus 2 2-S"
2-S
WT-2
Beaver
Chinook
254
331
496
Ultrasport
"Liberty 181"
N22
N22B
N22C
N24
N24A
Nomad
"Nomad II"
"321 Faeta"
"212 Solo"
"122 Zephyr"
"Zephyr 2000"
AH-2A
C-4M/AL-60
C-4M
CSH-2
MB-326K
MB-326
"Cheetah C"
"Cheetah D"
"Cheetah E"
Cheetah
Impala
Kuda
Rooivalk
42
42-300
42-300F
42-320
42-320F
42-329
42-400
42-500
52
52C
72
72-200
72-200QC
72-201
72-202
72-210
72-211
72-212
72-212QC
72-212A
72-500
82
Au-29
A61
A61-2
D4
D4-180
J-1
J-1B
J-1N
J-2
J-4
J-5
J-5B
J-5F
J-5G
Mk5
Mk5a
Mk5-160
Mk6
Mk6a
AOP
AOP.5
AOP.6
AOP.7
AOP.9
Mk9
Aiglet
Arrow
Autocar
Autocrat
Terrier
Tugmaster
GR582
GR912
GR912S
SP2000
SP4000
SP6000
Outback
"Outback 2"
"Pocket Rocket"
"PR BiPe"
"PR Breeze"
"Rocket XP"
"912 Pocket"
Speed
"Sport 2000"
Tapis
"Ultra Bat"
"A Model"
Explorer
Express
"Express E"
"Express G"
XL
MT-03
"MT-03 Turbo"
"MTO Sport"
Calidus
LNB-12
Autoplan
Stylus
"Stylus X3"
"Stylus X2"
Av-2
VL-3
VL-3B
VL-3C-1
Sprint
201
Akkor
FL-3
Vega
"Vega 2000"
"Vega 3000"
F.14
F-8L
P.19
Falco
Nibbio
Scricciolo
"80,000 cu ft"
"Falcon II"
Skyhawk
"Skyhawk Basket"
Sparrow
"Turbo 8 Magnum IX"
AC4-A
AC4-B
AC4-C
AC4-M
AC4-KC
AC4
Russia
"Baby MiG"
Raptor
AE209
AE207
AE206
Albatros
Mistral
"Mistral 503"
"Mistral Twin"
"Alaskan Bushmaster"
Aerocruiser
Javelin
A-1
A-1A
A-1B
A-1C
A
Husky
"Husky Hydro"
"Husky Pup"
"MK IV"
"Model AF-1"
"Model A"
"Model B"
"Model C"
"Model D"
Bandit
Catalina
Champion
"Flyer Heavy Hauler"
"Flyer Speedwing"
Flyer
Magnum
IAR-93A
IAR-93B
IAR-93
IAR-99
IAR-109
Soim
Swift
B2M
F-1
Favorit
Mosquit
"Ghibli 220"
CP1310
CP1310-C3
CP1315
CP1315-C3
CP1320
CP1321
CP150
CP152
CP152B
CP301
CP301A
CP301C
CP301S
CP305
CP320
CP320A
CP328
CP618
CP618A
CP90
CP80
Diamant
"Super Diamant"
Emeraude
"Super Emeraude"
Onyx
Super-Onyx
Saphir
Pinocchio
Zephir
"A.S. 70"
"A.S. 80"
Jac
180
"Super Cyclone"
Cyclone
I-1L
I-1
504
504K
Anson
Avian
L-139
L-159
L-29
L-29C
L-29R
L-39
L-39CT
L-39C
L-39V
L-39ZA
L-39ZO
L-59
"Aero 45"
"Aero Super 45"
Albatros
Delfin
FK-12
FK-14
FK-14B
FK-9
"FK-9 Mark 4"
"FK-9 Mark 3"
"FK-9 Mark 2"
"FK-9 Mark 1"
Comet
Polaris
1-11
1-11-200
1-11-212
1-11-212AR
1-11-300
1-11-400
1-11-401
1-11-401AK
1-11-422
1-11-422EQ
1-11-475
1-11-485
1-11-500
1-11-501
1-11-501EX
1-11-510ED
1-11-523FJ
1-11-525
1-11-525FT
1-11-528
1-11-528FL
1-11-528FT
1-11-530FX
1-11-561
1-11-561RC
167
"167 Mk.80A"
"167 Mk.80"
"167 Mk.84"
"167 Mk.87"
T.Mk3
T.Mk3A
T.Mk4
T.Mk4A
T.Mk5
T.Mk5A
"Jet Provost"
Strikemaster
Mackey
"Mackey SQ2"
"Mackey SQ4"
"Super Cruiser"
"Super Cub"
J-31
J-31-00
J-31-01
J-31-02
J-31-03
J-31-07
J-31-08
J-31-09
J-31-12
J-31EZ
J-32
J-32-00
J-32-01
J-32-01EP
J-32-02
J-32-06
J-32-12
J-32-12EP
J-32-17
J-32EP
J-41
J-41-00
J-41-01
J-41-02
J-51
J-61
HS748
HS748-2A
HS748-2B
RJ
RJ100
RJ70
RJ85
"Super VC-10"
VC-10
146
"146 CC Mk.2"
146-100
146-200
146-200QC
146-200QT
146-300
100
200
ATP
Avro
Canberra
Hawk
Jetstream
"Nimrod MR-2"
"Nimrod R-1"
Nimrod
Deuce
"Double Duce"
H/1
HA/2
HA/3
HA3-B
Snark
J-4
J-4B
J-4B2
Bearhawk
Souricette
A.61
A.109
B.121
B.125
B.206
"B.206 Series II"
"B.206 Series I"
B.242
D5
D5/180
Airedale
Basset
"Basset Mk1"
Bulldog
"Bulldog T Mk.1"
Husky
Pup
"Pup 100"
"Pup 150"
"Pup 160"
Terrier
BD-10
BD-12A
BD-12B
BD-12C
BD-12
BD-14
BD-17
BD-1
BD-2
BD-3
BD-4
BD-5
BD-5A
BD-5B
BD-5J
BD-6
BD-7
BD-8
Nugget
1900
1900C-1
1900C
1900D
1900D`ex
1900`ex
1300
2000
2000A
RJ-4
400
400A
400F
400T
400T/T-1A
400XP
"400XT (Nextant)"
400-731
100
A100-1
A100
B100
200
A200
A200/C-12A
A200/C-12C
A200CT
A200CT/C-12
A200CT/C-12D
A200CT/RC-12D
A200CT/RC-12F
A200CT/RC-12H
A200CT/RC-12K
A200CT/RC-12N
A200C
B200
B200C
B200CT
B200GT
B200GTO
B200SE
B200T
200CT
200C
200GTO
200T
250
300
B300C
B300
300AT
300LW
350
B350C
B350
T-6A-1/CT-156
T-6A
45
45/T-34
45/T-34A
45/T-34B
45/T-34C
45/T-34C-1
45/YT-34C
A45T
A45
B45
H90/T-44
H90/T-44A
RC350
17
A17FS
A17F
A17
B17B
B17E
B17L
B17R
B17
SC17B
C17B
C17E
C17L
SC17R
C17R
C17
D17A
D17R
D17S
D17S/GB-1
D17S/GB-2
D17W
D17
SE17B
E17B
E17L
E17
SF17D
F17D
F17
G17S
G17
17R
18
18/AT-11
E18S/AT-11
18/AT-7
18/3TM
D18S/3NM
D18/3NM
D18/3N
18/C45
18/C45G
18/C45H
18/C45J
"18/C45J SNB-5P"
"18/C45 SNB-5"
C18S
D18S
E18S-9700
E18S
G18S
H18S
H18
S18A
S18B
S18D
18A
18B
18D
18R
18S
19
19A
B19
M19A
A23-19
23
A23-24
A23A
A23
B23
C23
24
A24R
B24R
C24R
34
3?
33
35-A33
35-B33
35-C33A
35-C33
35-33
E33
E33A
E33C
F33
F33A
F33C
G33
35
A35
C35
D35
E35
F35
G35
H35
J35
J35B
K35
M35
N35
O35
P35
R35
S35
V35
V35A-TC
V35A
V35B-TC
V35B
V35-TC
V35V
B35
36
A36
A36AT
A36`tp
A36TC`tp
A36TC
A36/QU-22B
T36TC
T36TC`tp
B36TC
B36TC`tp
G36
38P
38P-1
38P-2
50
A50
B50
C50
D50A
D50B
D50C
D50D
D50E
D50
E50
E50/U-8G
E50/U-8
F50
G50
H50
J50
5?
55
95-B55/T-42A
95-B55/T-42
95-A55
95-B55
95-C55
95-55
D55
E55
56TC
A56TC
58
G58
58P
58TC
60
A60
B60
76
6?
65/U-8F
65
65-80
65-A80
65-A80-8800
65-B80
65-85
65-85D
65-88
65-A88
A65
A65-8200
70
77
65-A90-1C
65-A90-1
65-A90-2
65-A90-3
65-A90-4
65-A90
65-90
90
A90
A90-1/U-21G
A90-1
A90-2
A90-3
A90-4
A90B
B90
C90
C90-1
C90A
C90XP
C90B
C90GT
C90GTi
C90GTx
C90SE
E90
E90XP
F90
F90-1
G90
H90
95
B95
B95A
D95A
E95
"95/WH4 "Harpoon""
99
A99A
99A
B99
C99
Airliner
Exec-Liner
"Foxstar Baron"
Cochise
"Turbo Baron"
Baron
Beechjet
Bonanza
Debonair
"Twin Bonanza"
"Prop-Jet Bonanza"
"Commuter 1300"
Duchess
Duke
"Harvard II"
Harvard
Jayhawk
"King Air"
"King Air/Blackhawk XP"
"King Air/Catpass"
"Super King Air"
"King Air/Gaurdrail"
"King Air/Huron"
Lightning
Mentor
Mentor`tp
Musketeer
"Custom III"
"Musketeer Custom III"
"Musketeer Sport III"
"Musketeer III"
"Musketeer II"
"Queen Air"
"Queen Air Excalibur"
"Queen Air Excalibur 400"
"Queen Air Excalibur 800"
Sierra
"Sierra 200"
"Super R (Sierra)"
Skipper
Staggerwing
"Starship 1"
"Sundowner 180"
"Super III"
Sport
"Sport 150"
"Sport III"
"Texan II"
Texan
"Travel Air"
"Twin Beech"
Expeditor
JPATS
Volpar
"Texas Chuckbird"
"Texas Parasol"
SF-2
Cygnet
Dragonfly
"Viking II"
7ACA
7ECA
7GCAA
7GCAB
GCBC
7GCBC
8GCBC
7KCAB
8KCAB
14-13
14-12
14-12F
14-12F-3
14-12-3
14-13-2
14-13-3
14-19
